Theoretical%,Loose,Won,%OF WIN
7,1,0,0.0
8,4,1,20.0
9,4,0,0.0
10,10,1,9.1
11,12,2,14.3
12,13,2,13.3
13,26,1,3.7
14,13,2,13.3
15,19,2,9.5
16,6,3,33.3
17,20,6,23.1
18,19,2,9.5
19,14,3,17.6
20,25,9,26.5
21,13,5,27.8
22,15,3,16.7
23,23,6,20.7
24,15,5,25.0
25,14,6,30.0
26,24,11,31.4
27,23,13,36.1
28,13,4,23.5
29,45,20,30.8
30,15,3,16.7
31,26,17,39.5
32,24,7,22.6
33,27,11,28.9
34,31,18,36.7
35,6,2,25.0
36,44,23,34.3
37,16,10,38.5
38,42,14,25.0
39,12,12,50.0
40,23,8,25.8
41,30,18,37.5
42,24,22,47.8
43,38,27,41.5
44,13,12,48.0
45,32,22,40.7
47,22,14,38.9
48,29,19,39.6
49,25,30,54.5
50,23,13,36.1
51,13,10,43.5
52,18,18,50.0
53,10,14,58.3
55,13,23,63.9
56,30,24,44.4
57,33,51,60.7
58,22,32,59.3
59,12,13,52.0
60,16,23,59.0
61,11,15,57.7
62,40,54,57.4
63,8,23,74.2
64,20,32,61.5
65,6,22,78.6
66,10,16,61.5
67,10,21,67.7
68,15,29,65.9
69,12,21,63.6
70,6,10,62.5
71,18,45,71.4
72,10,22,68.8
73,10,25,71.4
74,10,29,74.4
75,10,16,61.5
76,8,23,74.2
77,14,24,63.2
78,12,27,69.2
79,4,13,76.5
80,7,24,77.4
81,3,18,85.7
82,5,10,66.7
83,9,25,73.5
84,0,1,100.0
85,3,14,82.4
86,2,19,90.5
87,3,9,75.0
88,6,17,73.9
89,2,19,90.5
90,2,13,86.7
91,1,12,92.3
92,2,27,93.1
93,1,9,90.0
94,2,9,81.8
95,0,8,100.0
96,1,3,75.0
97,0,1,100.0
98,0,1,100.0
