Theoretical%,Loose,Won,%OF WIN
7,1,0,0.0
8,4,1,20.0
9,4,0,0.0
10,13,2,13.3
11,9,1,10.0
12,27,2,6.9
13,25,3,10.7
14,19,2,9.5
15,6,3,33.3
16,20,6,23.1
17,19,2,9.5
18,14,3,17.6
19,25,9,26.5
20,11,5,31.2
21,17,3,15.0
22,23,6,20.7
23,15,5,25.0
24,14,6,30.0
25,24,11,31.4
26,23,13,36.1
27,13,4,23.5
28,45,20,30.8
29,15,3,16.7
30,26,17,39.5
31,24,7,22.6
32,27,11,28.9
33,31,18,36.7
34,6,2,25.0
35,44,23,34.3
36,16,10,38.5
37,42,14,25.0
38,12,12,50.0
39,23,8,25.8
40,54,40,42.6
41,15,11,42.3
42,23,16,41.0
43,13,12,48.0
44,32,22,40.7
45,22,14,38.9
46,29,19,39.6
47,24,30,55.6
48,24,13,35.1
49,13,10,43.5
50,18,18,50.0
51,10,13,56.5
52,13,24,64.9
53,30,24,44.4
54,19,29,60.4
55,14,22,61.1
56,22,32,59.3
57,12,13,52.0
58,16,23,59.0
59,11,15,57.7
60,40,54,57.4
61,8,23,74.2
62,12,12,50.0
63,14,42,75.0
64,10,16,61.5
65,23,44,65.7
66,2,6,75.0
67,18,31,63.3
68,11,27,71.1
69,7,24,77.4
70,17,26,60.5
71,3,15,83.3
72,20,45,69.2
73,4,13,76.5
74,13,23,63.9
75,11,24,68.6
76,6,14,70.0
77,5,15,75.0
78,6,23,79.3
79,3,17,85.0
80,5,11,68.8
81,9,25,73.5
82,3,14,82.4
83,2,19,90.5
84,6,20,76.9
85,3,6,66.7
86,2,19,90.5
87,2,13,86.7
88,3,39,92.9
89,1,9,90.0
90,2,13,86.7
91,0,4,100.0
92,1,4,80.0
93,0,1,100.0
